Id V1 V2 V3
2118 344 73 600 
2119 344 600 169 
2120 270 10 601 
2121 270 601 169 
2122 346 601 10 
2123 346 169 601 
2124 317 76 602 
2125 317 602 171 
2126 316 602 76 
2127 316 171 602 
2128 317 603 33 
2129 317 171 603 
2130 318 75 604 
2131 318 604 170 
2132 316 76 605 
2133 316 605 170 
2134 318 605 76 
2135 318 170 605 
2136 316 0 606 
2137 316 606 171 
2138 316 607 0 
2139 316 170 607 
2140 291 608 49 
2141 291 150 608 
2142 319 49 608 
2143 319 608 150 
2144 319 609 4 
2145 319 150 609 
2146 535 4 609 
2147 535 609 150 
2148 291 46 610 
2149 291 610 150 
2150 534 610 46 
2151 534 150 610 
2152 289 86 611 
2153 289 611 101 
2154 303 611 86 
2155 303 101 611 
2156 320 612 72 
2157 320 172 612 
2158 321 72 612 
2159 321 612 172 
2160 320 70 613 
2161 320 613 172 
2162 283 613 70 
2163 283 172 613 
2164 283 74 614 
2165 283 614 172 
2166 293 614 74 
2167 293 172 614 
2168 321 615 53 
2169 321 172 615 
2170 293 53 615 
2171 293 615 172 
2172 240 79 616 
2173 240 616 173 
2174 297 616 79 
2175 297 173 616 
2176 297 81 617 
2177 297 617 173 
2178 486 617 81 
2179 486 173 617 
2180 240 618 80 
2181 240 173 618 
2182 526 80 618 
2183 526 618 173 
2184 313 35 619 
2185 313 619 174 
2186 314 619 35 
2187 314 174 619 
2188 314 34 620 
2189 314 620 174 
2190 341 620 34 
2191 341 174 620 
2192 313 621 32 
2193 313 174 621 
2194 343 32 621 
2195 343 621 174 
2196 323 59 622 
2197 323 622 175 
2198 322 622 59 
2199 322 175 622 
2200 322 55 623 
2201 322 623 175 
2202 326 623 55 
2203 326 175 623 
2204 322 59 624 
2205 322 624 116 
2206 257 624 59 
2207 257 116 624 
2208 323 625 50 
2209 323 175 625 
2210 327 50 625 
2211 327 625 175 
2212 324 626 27 
2213 324 176 626 
2214 282 27 626 
2215 282 626 176 
2216 324 28 627 
2217 324 627 176 
2218 584 627 28 
2219 584 176 627 
2220 282 628 29 
2221 282 176 628 
2222 582 29 628 
2223 582 628 176 
2224 327 629 89 
2225 327 175 629 
2226 326 89 629 
2227 326 629 175 
2228 326 630 89 
2229 326 95 630 
2230 325 89 630 
2231 325 630 95 
2232 312 631 66 
2233 312 177 631 
2234 261 66 631 
2235 261 631 177 
2236 312 32 632 
2237 312 632 177 
2238 328 632 32 
2239 328 177 632 
2240 329 633 62 
2241 329 177 633 
2242 328 62 633 
2243 328 633 177 
2244 261 634 61 
2245 261 177 634 
2246 329 61 634 
2247 329 634 177 
2248 339 92 635 
2249 339 635 122 
2250 338 635 92 
2251 338 122 635 
2252 340 636 90 
2253 340 120 636 
2254 332 90 636 
2255 332 636 120 
2256 339 637 92 
2257 339 179 637 
2258 333 92 637 
2259 333 637 179 
2260 340 90 638 
2261 340 638 107 
2262 331 638 90 
2263 331 107 638 
2264 339 78 639 
2265 339 639 179 
2266 334 639 78 
2267 334 179 639 
2268 338 92 640 
2269 338 640 144 
2270 335 640 92 
2271 335 144 640 
2272 337 641 91 
2273 337 179 641 
2274 334 91 641 
2275 334 641 179 
2276 336 91 642 
2277 336 642 178 
2278 334 642 91 
2279 334 178 642 
2280 337 19 643 
2281 337 643 179 
2282 333 643 19 
2283 333 179 643 
2284 336 644 11 
2285 336 178 644 
2286 287 11 644 
2287 287 644 178 
2288 335 92 645 
2289 335 645 181 
2290 333 645 92 
2291 333 181 645 
2292 334 78 646 
2293 334 646 178 
2294 277 646 78 
2295 277 178 646 
2296 335 647 38 
2297 335 181 647 
2298 330 38 647 
2299 330 647 181 
2300 332 648 90 
2301 332 180 648 
2302 330 90 648 
2303 330 648 180 
2304 333 19 649 
2305 333 649 181 
2306 331 649 19 
2307 331 181 649 
2308 332 15 650 
2309 332 650 180 
2310 518 650 15 
2311 518 180 650 
2312 331 90 651 
2313 331 651 181 
2314 330 651 90 
2315 330 181 651 
2316 330 652 38 
2317 330 180 652 
2318 515 38 652 
2319 515 652 180 
2320 301 26 653 
2321 301 653 129 
2322 306 653 26 
2323 306 129 653 
2324 277 80 654 
2325 277 654 178 
2326 287 654 80 
2327 287 178 654 
2328 341 93 655 
2329 341 655 174 
2330 343 655 93 
2331 343 174 655 
2332 341 656 93 
2333 341 149 656 
2334 342 93 656 
2335 342 656 149 
2336 344 657 94 
2337 344 169 657 
2338 346 94 657 
2339 346 657 169 
2340 345 658 94 
2341 345 153 658 
2342 344 94 658 
2343 344 658 153 
2344 347 45 659 
2345 347 659 182 
2346 309 659 45 
2347 309 182 659 
2348 309 44 660 
2349 309 660 182 
2350 556 660 44 
2351 556 182 660 
2352 347 661 41 
2353 347 182 661 
2354 557 41 661 
2355 557 661 182 
2356 350 662 47 
2357 350 183 662 
2358 351 47 662 
2359 351 662 183 
2360 349 663 95 
2361 349 183 663 
2362 350 95 663 
2363 350 663 183 
2364 348 55 664 
2365 348 664 184 
2366 415 664 55 
2367 415 184 664 
2368 349 61 665 
2369 349 665 183 
2370 329 665 61 
2371 329 183 665 
2372 348 666 95 
2373 348 184 666 
2374 349 95 666 
2375 349 666 184 
2376 349 667 61 
2377 349 184 667 
2378 473 61 667 
2379 473 667 184 
2380 351 668 62 
2381 351 183 668 
2382 329 62 668 
2383 329 668 183 
2384 354 669 68 
2385 354 185 669 
2386 488 68 669 
2387 488 669 185 
2388 355 670 96 
2389 355 185 670 
2390 354 96 670 
2391 354 670 185 
2392 355 11 671 
2393 355 671 185 
2394 487 671 11 
2395 487 185 671 
2396 354 672 96 
2397 354 119 672 
2398 352 96 672 
2399 352 672 119 
2400 357 673 50 
2401 357 186 673 
2402 323 50 673 
2403 323 673 186 
2404 323 674 59 
2405 323 186 674 
2406 566 59 674 
2407 566 674 186 
2408 357 54 675 
2409 357 675 186 
2410 568 675 54 
2411 568 186 675 
2412 343 676 32 
2413 343 188 676 
2414 328 32 676 
2415 328 676 188 
2416 343 93 677 
2417 343 677 188 
2418 187 677 93 
2419 187 188 677 
2421 188 187 678 
2423 192 678 187 
2424 342 48 679 
2426 363 679 48 
2428 93 680 187 
2429 93 342 680 
2430 679 187 680 
2431 679 680 342 
2432 328 681 62 
2433 328 188 681 
2434 678 62 681 
2435 678 681 188 
2436 356 56 682 
2437 356 682 189 
2438 380 682 56 
2439 380 189 682 
2440 105 91 683 
2441 105 683 189 
2442 336 683 91 
2443 336 189 683 
2444 356 684 11 
2445 356 189 684 
2446 336 11 684 
2447 336 684 189 
2448 91 105 685 
2449 91 685 337 
2450 381 685 105 
2451 381 337 685 
2452 359 97 686 
2453 359 686 191 
2454 358 686 97 
2455 358 191 686 
2456 359 52 687 
2457 359 687 97 
2458 271 687 52 
2459 271 97 687 
2460 358 688 40 
2461 358 190 688 
2462 384 40 688 
2463 384 688 190 
2464 358 97 689 
2465 358 689 190 
2466 360 689 97 
2467 360 190 689 
2468 360 51 690 
2469 360 690 190 
2470 382 690 51 
2471 382 190 690 
2472 358 40 691 
2473 358 691 191 
2474 379 691 40 
2475 379 191 691 
2476 362 692 99 
2477 362 192 692 
2478 187 99 692 
2479 187 692 192 
2480 362 47 693 
2481 362 693 192 
2482 351 693 47 
2483 351 192 693 
2484 99 187 694 
2485 99 694 363 
2486 679 694 187 
2487 679 363 694 
2488 351 62 695 
2489 351 695 192 
2490 678 695 62 
2491 678 192 695 
2492 364 12 696 
2493 364 696 193 
2494 504 696 12 
2495 504 193 696 
2496 364 697 100 
2497 364 193 697 
2498 366 100 697 
2499 366 697 193 
2500 365 698 100 
2501 365 148 698 
2502 364 100 698 
2503 364 698 148 
2504 366 699 48 
2505 366 193 699 
2506 505 48 699 
2507 505 699 193 
2508 357 50 700 
2509 357 700 194 
2510 405 700 50 
2511 405 194 700 
2512 357 701 54 
2513 357 194 701 
2514 300 54 701 
2515 300 701 194 
2516 300 702 51 
2517 300 194 702 
2518 403 51 702 
2519 403 702 194 
2520 321 703 72 
2521 321 195 703 
2522 501 72 703 
2523 501 703 195 
2524 321 53 704 
2525 321 704 195 
2526 305 704 53 
2527 305 195 704 
2528 305 54 705 
2529 305 705 195 
2530 555 705 54 
2531 555 195 705 
2532 367 706 72 
2533 367 196 706 
2534 320 72 706 
2535 320 706 196 
2536 367 52 707 
2537 367 707 196 
2538 418 707 52 
2539 418 196 707 
2540 320 708 70 
2541 320 196 708 
2542 416 70 708 
2543 416 708 196 
2544 370 709 101 
2545 370 197 709 
2546 368 101 709 
2547 368 709 197 
2548 369 101 710 
2549 369 710 138 
2550 368 710 101 
2551 368 138 710 
2552 370 60 711 
2553 370 711 197 
2554 368 712 63 
2555 368 197 712 
2556 371 102 713 
2557 371 713 198 
2558 376 713 102 
2559 376 198 713 
2560 371 714 6 
2561 371 198 714 
2562 374 715 103 
2563 374 199 715 
2564 372 103 715 
2565 372 715 199 
2566 372 33 716 
2567 372 716 200 
2568 372 717 33 
2569 372 199 717 
2570 317 33 717 
2571 317 717 199 
2572 376 102 718 
2573 376 718 164 
2574 377 718 102 
2575 377 164 718 
2576 374 31 719 
2577 374 719 199 
2578 311 719 31 
2579 311 199 719 
2580 376 25 720 
2581 376 720 198 
2582 372 721 103 
2583 372 200 721 
2584 373 103 721 
2585 373 721 200 
2586 373 722 23 
2587 373 200 722 
2588 317 723 76 
2589 317 199 723 
2590 311 76 723 
2591 311 723 199 
2592 378 724 43 
2593 378 156 724 
2594 296 43 724 
2595 296 724 156 
2596 353 725 56 
2597 353 191 725 
2598 379 56 725 
2599 379 725 191 
2600 356 726 56 
2601 356 96 726 
2602 353 56 726 
2603 353 726 96 
2604 380 727 105 
2605 380 201 727 
2606 108 105 727 
2607 108 727 201 
2608 379 40 728 
2609 379 728 201 
2610 387 728 40 
2611 387 201 728 
2612 105 108 729 
2613 105 729 381 
2614 386 729 108 
2615 386 381 729 
2616 380 56 730 
2617 380 730 201 
2618 379 730 56 
2619 379 201 730 
2620 383 731 4 
2621 383 202 731 
2622 404 4 731 
2623 404 731 202 
2624 384 732 106 
2625 384 190 732 
2626 382 106 732 
2627 382 732 190 
2628 383 106 733 
2629 383 733 202 
2630 382 733 106 
2631 382 202 733 
2632 382 51 734 
2633 382 734 202 
2634 403 734 51 
2635 403 202 734 
2636 385 735 99 
2637 385 203 735 
2638 362 99 735 
2639 362 735 203 
2640 385 49 736 
2641 385 736 203 
2643 203 737 204 
2644 737 203 736 
2645 737 736 49 
2646 475 737 49 
2647 475 204 737 
2648 363 738 99 
2649 363 151 738 
2650 385 99 738 
2651 385 738 151 
2652 362 739 47 
2653 362 203 739 
2655 203 204 740 
2656 740 739 203 
2657 740 47 739 
2658 325 47 740 
2659 325 740 204 
2660 347 741 45 
2661 347 205 741 
2663 205 206 742 
2664 742 741 205 
2665 742 45 741 
2667 207 742 206 
2668 206 108 743 
2669 206 743 207 
2670 387 743 108 
2671 387 207 743 
2672 389 107 744 
2673 389 744 205 
2674 206 744 107 
2675 206 205 744 
2676 107 745 206 
2677 107 388 745 
2678 388 19 746 
2680 746 745 388 
2681 746 206 745 
2682 386 746 19 
2684 389 747 41 
2685 389 205 747 
2686 347 41 747 
2687 347 747 205 
2688 108 206 748 
2689 108 748 386 
2690 746 748 206 
2691 746 386 748 
2692 387 40 749 
2693 387 749 207 
2694 254 749 40 
2695 254 207 749 
2696 254 45 750 
2697 254 750 207 
2698 742 750 45 
2699 742 207 750 
2700 390 109 751 
2701 390 751 208 
2702 391 751 109 
2703 391 208 751 
2704 392 752 109 
2705 392 209 752 
2706 391 109 752 
2707 391 752 209 
2708 391 68 753 
2709 391 753 208 
2710 468 753 68 
2711 468 208 753 
2712 391 754 68 
2713 391 209 754 
2714 417 68 754 
2715 417 754 209 
2716 390 755 69 
2717 390 208 755 
2718 433 69 755 
2719 433 755 208 
